Datetime,EEM,EEMA,EMXC,Nasdaq,Russel,Spx,VTHR
2022-12-06 09:30:00,39.2400016784668,65.08999633789062,49.399898529052734,11229.6201171875,1836.9266357421875,3999.110107421875,179.3000030517578
2022-12-06 09:32:00,39.22999954223633,65.11000061035156,49.38999938964844,11220.044921875,1837.94677734375,4000.22998046875,179.36000061035156
2022-12-06 09:34:00,39.189998626708984,65.04000091552734,49.38999938964844,11208.439453125,1837.8924560546875,3996.840087890625,
2022-12-06 09:36:00,39.22999954223633,65.0199966430664,49.41999816894531,11215.23828125,1838.812744140625,3998.75,179.25999450683594
2022-12-06 09:38:00,39.20000076293945,65.02999877929688,49.41999816894531,11206.8720703125,1838.209716796875,3995.010009765625,179.22000122070312
2022-12-06 09:40:00,39.125,64.87999725341797,49.37990188598633,11196.01171875,1836.6611328125,3992.659912109375,
2022-12-06 09:42:00,39.06999969482422,64.75,49.314701080322266,11184.310546875,1834.0489501953125,3986.0400390625,178.7100067138672
2022-12-06 09:44:00,39.029998779296875,64.73999786376953,49.27830123901367,11156.720703125,1832.0457763671875,3978.919921875,
2022-12-06 09:46:00,39.06999969482422,,49.27000045776367,11153.4609375,1831.540283203125,3980.39990234375,
2022-12-06 09:48:00,39.150001525878906,64.80999755859375,49.369998931884766,11171.7392578125,1833.550048828125,3987.389892578125,
2022-12-06 09:50:00,39.13999938964844,,49.36000061035156,11162.0576171875,1833.919921875,3984.659912109375,178.61590576171875
2022-12-06 09:52:00,39.1349983215332,,49.349998474121094,11161.7314453125,1834.6395263671875,3984.1201171875,
2022-12-06 09:54:00,39.119998931884766,64.86000061035156,49.33000183105469,11147.953125,1833.6126708984375,3979.260009765625,
2022-12-06 09:56:00,39.13999938964844,,49.29800033569336,11132.5986328125,1833.8109130859375,3977.719970703125,
2022-12-06 09:58:00,39.095001220703125,64.86000061035156,49.31999969482422,11121.48046875,1832.3798828125,3974.179931640625,
2022-12-06 10:00:00,39.099998474121094,,49.27000045776367,11118.9287109375,1831.78125,3975.360107421875,
2022-12-06 10:02:00,39.064998626708984,64.79499816894531,,11102.7138671875,1829.6175537109375,3970.139892578125,
2022-12-06 10:04:00,39.060001373291016,64.79000091552734,49.25019836425781,11097.599609375,1828.7276611328125,3967.840087890625,
2022-12-06 10:06:00,38.9900016784668,,49.209999084472656,11069.6640625,1826.82275390625,3962.14990234375,
2022-12-06 10:08:00,39.029998779296875,64.66999816894531,49.189998626708984,11081.4150390625,1827.31982421875,3966.25,
2022-12-06 10:10:00,39.040000915527344,,49.22600173950195,11085.798828125,1826.816650390625,3965.449951171875,
2022-12-06 10:12:00,39.029998779296875,,49.20000076293945,11082.767578125,1826.2034912109375,3964.43994140625,
2022-12-06 10:14:00,39.02000045776367,64.72000122070312,49.224998474121094,11078.498046875,1826.3572998046875,3962.340087890625,177.77499389648438
2022-12-06 10:16:00,39.03499984741211,,,11084.275390625,1826.9786376953125,3964.340087890625,
2022-12-06 10:18:00,39.04999923706055,64.70500183105469,49.20220184326172,11090.6669921875,1826.766845703125,3965.7099609375,
2022-12-06 10:20:00,39.05500030517578,64.75,49.220001220703125,11094.017578125,1827.889404296875,3965.659912109375,
2022-12-06 10:22:00,39.07500076293945,64.80000305175781,,11096.7998046875,1828.0289306640625,3966.090087890625,
2022-12-06 10:24:00,39.11000061035156,,49.244998931884766,11103.0478515625,1828.5826416015625,3967.820068359375,
2022-12-06 10:26:00,39.099998474121094,,49.26499938964844,11099.2939453125,1828.45947265625,3966.550048828125,
2022-12-06 10:28:00,39.04999923706055,64.81999969482422,,11084.8125,1826.666259765625,3961.0,
2022-12-06 10:30:00,39.060001373291016,,,11087.626953125,1826.297119140625,3961.429931640625,
2022-12-06 10:32:00,39.04999923706055,64.75,49.194000244140625,11090.50390625,1825.7232666015625,3962.760009765625,
2022-12-06 10:34:00,39.005001068115234,64.75,49.18000030517578,11083.556640625,1824.0877685546875,3959.139892578125,
2022-12-06 10:36:00,38.9900016784668,,49.139801025390625,11084.216796875,1823.839599609375,3959.239990234375,
2022-12-06 10:38:00,38.96500015258789,64.62000274658203,49.099998474121094,11064.8427734375,1821.98388671875,3955.31005859375,
2022-12-06 10:40:00,38.959999084472656,64.5999984741211,49.0713996887207,11050.5322265625,1820.330810546875,3952.469970703125,
2022-12-06 10:42:00,38.9900016784668,,49.10499954223633,11060.3798828125,1821.2545166015625,3955.840087890625,
2022-12-06 10:44:00,39.060001373291016,64.7699966430664,49.172000885009766,11080.8037109375,1823.0557861328125,3962.080078125,
2022-12-06 10:46:00,39.064998626708984,,,11080.103515625,1823.461669921875,3961.320068359375,
2022-12-06 10:48:00,39.064998626708984,,49.18000030517578,11081.142578125,1824.049072265625,3960.590087890625,
2022-12-06 10:50:00,39.099998474121094,64.81999969482422,,11082.00390625,1824.367919921875,3961.719970703125,
2022-12-06 10:52:00,39.08000183105469,,,11081.3916015625,1824.2076416015625,3961.030029296875,
2022-12-06 10:54:00,39.060001373291016,,49.220001220703125,11072.115234375,1823.8544921875,3958.570068359375,
2022-12-06 10:56:00,39.09000015258789,64.8499984741211,49.21879959106445,11066.84375,1823.3563232421875,3956.830078125,
2022-12-06 10:58:00,39.08000183105469,,,11063.2177734375,1822.7998046875,3956.110107421875,
2022-12-06 11:00:00,39.099998474121094,,,11068.7587890625,1823.166015625,3957.760009765625,
2022-12-06 11:02:00,39.08869934082031,,49.220001220703125,11060.4306640625,1823.34765625,3954.47998046875,177.25
